Direction,Score,MaxTile,MoveTime(ms),EmptyTiles,Timestamp
Right,0,2,2539,14,2025-05-16T20:50:27.793Z
Left,0,2,2627,13,2025-05-16T20:50:30.421Z
Left,4,4,201,13,2025-05-16T20:50:30.621Z
Left,4,4,214,12,2025-05-16T20:50:30.835Z
Left,4,4,236,11,2025-05-16T20:50:31.071Z
Left,4,4,486,10,2025-05-16T20:50:31.557Z
Left,8,4,234,10,2025-05-16T20:50:31.791Z
Down,12,4,346,10,2025-05-16T20:50:32.137Z
Down,20,8,232,10,2025-05-16T20:50:32.369Z
Down,24,8,532,10,2025-05-16T20:50:32.901Z
Left,28,8,199,10,2025-05-16T20:50:33.100Z
Left,36,8,197,10,2025-05-16T20:50:33.297Z
Left,40,8,188,10,2025-05-16T20:50:33.485Z
Left,40,8,176,9,2025-05-16T20:50:33.661Z
Left,40,8,178,8,2025-05-16T20:50:33.839Z
Left,44,8,168,8,2025-05-16T20:50:34.007Z
Left,44,8,177,7,2025-05-16T20:50:34.184Z
Left,44,8,177,6,2025-05-16T20:50:34.361Z
Left,44,8,164,5,2025-05-16T20:50:34.525Z
Left,48,8,180,5,2025-05-16T20:50:34.705Z
Left,56,8,169,5,2025-05-16T20:50:34.874Z
Left,60,8,190,5,2025-05-16T20:50:35.064Z
Left,72,8,193,6,2025-05-16T20:50:35.257Z
Left,96,16,180,7,2025-05-16T20:50:35.437Z
Left,100,16,185,7,2025-05-16T20:50:35.622Z
Left,100,16,195,6,2025-05-16T20:50:35.817Z
Left,104,16,179,6,2025-05-16T20:50:35.996Z
Left,116,16,191,7,2025-05-16T20:50:36.187Z
Left,132,16,179,7,2025-05-16T20:50:36.366Z
Left,136,16,179,7,2025-05-16T20:50:36.545Z
Left,136,16,190,6,2025-05-16T20:50:36.735Z
Left,136,16,185,5,2025-05-16T20:50:36.921Z
Left,136,16,188,4,2025-05-16T20:50:37.108Z
Left,140,16,173,4,2025-05-16T20:50:37.281Z
Left,152,16,166,5,2025-05-16T20:50:37.447Z
Left,168,16,192,5,2025-05-16T20:50:37.639Z
Left,168,16,181,4,2025-05-16T20:50:37.820Z
Left,172,16,176,4,2025-05-16T20:50:37.996Z
Left,176,16,161,4,2025-05-16T20:50:38.157Z
Left,176,16,191,3,2025-05-16T20:50:38.348Z
Left,180,16,195,3,2025-05-16T20:50:38.543Z
Left,192,16,675,4,2025-05-16T20:50:39.218Z
Left,200,16,662,4,2025-05-16T20:50:39.880Z
Left,200,16,586,3,2025-05-16T20:50:40.466Z
Left,200,16,229,2,2025-05-16T20:50:40.695Z
Left,204,16,242,2,2025-05-16T20:50:40.937Z
Left,216,16,236,3,2025-05-16T20:50:41.173Z
Left,220,16,293,3,2025-05-16T20:50:41.466Z
Up,220,16,451,2,2025-05-16T20:50:41.917Z
Up,296,32,191,6,2025-05-16T20:50:42.108Z
Up,328,32,192,6,2025-05-16T20:50:42.300Z
Up,328,32,201,5,2025-05-16T20:50:42.501Z
Up,328,32,198,4,2025-05-16T20:50:42.699Z
Left,332,32,423,4,2025-05-16T20:50:43.122Z
Left,400,64,211,5,2025-05-16T20:50:43.333Z
Left,404,64,213,5,2025-05-16T20:50:43.546Z
Left,412,64,190,5,2025-05-16T20:50:43.736Z
Left,416,64,203,5,2025-05-16T20:50:43.939Z
Left,416,64,242,4,2025-05-16T20:50:44.181Z
Left,416,64,241,3,2025-05-16T20:50:44.422Z
Left,420,64,225,3,2025-05-16T20:50:44.647Z
Left,428,64,180,3,2025-05-16T20:50:44.827Z
Left,428,64,198,2,2025-05-16T20:50:45.025Z
Left,432,64,211,2,2025-05-16T20:50:45.236Z
Left,440,64,212,2,2025-05-16T20:50:45.448Z
Left,444,64,182,2,2025-05-16T20:50:45.630Z
Left,448,64,186,2,2025-05-16T20:50:45.816Z
Left,448,64,219,1,2025-05-16T20:50:46.035Z
